Source;Target;Type
www.google.es;adservice.google.es;Directed
www.google.es;id.google.es;Directed
www.google.es;www.ucm.es;Directed
www.google.es;www.google.com;Directed
www.google.es;apis.google.com;Directed
www.google.es;ssl.gstatic.com;Directed
www.google.es;www.gstatic.com;Directed
www.google.es;fonts.gstatic.com;Directed
www.google.es;www.youtube.com;Directed
www.google.es;wiki.archlinux.org;Directed
www.google.es;translate.google.es;Directed
www.google.es;archlinuxarm.org;Directed
www.google.es;en.wikipedia.org;Directed
www.google.es;www.crunchbase.com;Directed
www.google.es;retropie.org.uk;Directed
www.google.es;www.raspberrypi.org;Directed
www.google.es;es.wikipedia.org;Directed
www.google.es;mundokodi.com;Directed
www.google.es;github.com;Directed
www.google.es;lamiradadelreplicante.com;Directed
www.google.es;pagead2.googlesyndication.com;Directed
www.google.es;track.adform.net;Directed
www.google.es;www.guiadegrecia.com;Directed
www.google.es;www.bible-history.com;Directed
www.google.es;maps.gstatic.com;Directed
www.google.es;m.addthis.com;Directed
www.google.es;es.godaddy.com;Directed
www.google.es;img.godaddy.com;Directed
www.google.es;www.dondominio.com;Directed
www.google.es;es.wordpress.org;Directed
www.google.es;i.imgur.com;Directed
www.google.es;www.pexels.com;Directed
www.google.es;i.pinimg.com;Directed
www.google.es;static.pexels.com;Directed
www.google.es;addons.mozilla.org;Directed
www.google.es;es.wikihow.com;Directed
www.google.es;chrome.google.com;Directed
www.google.es;www.debian.org;Directed
www.google.es;debian-handbook.info;Directed
www.google.es;www.archlinux.org;Directed
www.google.es;www.ubuntu.com;Directed
www.google.es;lh5.googleusercontent.com;Directed
www.google.es;www.mint.com;Directed
www.google.es;www.voidlinux.eu;Directed
www.google.es;www.slackware.com;Directed
www.google.es;linuxzone.es;Directed
www.google.es;getgnulinux.org;Directed
www.google.es;www.gnu.org;Directed
www.google.es;www.muylinux.com;Directed
www.google.es;stallman.org;Directed
www.google.es;www.mozilla.org;Directed
www.google.es;store.steampowered.com;Directed
www.google.es;worldofwarcraft.com;Directed
www.google.es;wiki.aidancbrady.com;Directed
www.google.es;consent.google.com;Directed
www.google.es;duckduckgo.com;Directed
www.google.es;www.torproject.org;Directed
www.google.es;www.pccomponentes.com;Directed
www.google.es;m.media-amazon.com;Directed
www.google.es;images-eu.ssl-images-amazon.com;Directed
www.google.es;images-na.ssl-images-amazon.com;Directed
www.google.es;www.amazon.es;Directed
www.google.es;aax-eu.amazon-adsystem.com;Directed
